Source,Teff,Lum
95652018353917056,5654.0,3.0072274
96331172942614528,5489.3335,0.45324752
98692339803443328,4063.97,0.088458955
98692614681349248,5643.75,0.7494215
99446604780067328,3856.68,0.06127484
99495498687738624,6410.0,6.1277423
100254161710940928,5799.0,1.0158017
100380639907919872,5312.5,0.4582518
100586763978318208,4766.9,0.26615027
100665065526715008,4050.365,0.06575514
101283987497967360,5287.5,0.6392563
101309452355657216,5644.25,1.1182768
101489256866566528,4270.6875,0.12697963
102082409030066560,6647.0,4.16467
102082477749475200,6211.267,2.4043226
103173223348678144,4135.71,0.11561754
103649316178540416,4953.225,0.35952675
103942679624729088,4806.45,0.21287362
104453918172129792,5802.0,0.8652515
104716907609412352,7012.75,16.127216
104717285566534016,6108.0,1.6033872
104752950974981760,5659.1235,0.31043786
105332908999068032,5656.0,1.3600117
105850121845012608,3761.785,0.0670815
106051542927008128,6499.5,6.768121
106774952858617088,5651.0,0.74459606
107774198474602368,5847.25,1.0579096
107774202769886848,6205.25,2.0364027
108421608959951488,6649.3335,4.1580667
109051246870008448,4498.22,0.15022957
109931856900594432,5805.3335,1.8883176
114575472461716864,5220.75,0.43616354
114832620743735808,5330.0,0.46579307
115311458058061440,5671.5,0.8958764
115364234616059392,5141.8027,0.45029795
116037204451525376,5058.5,0.4815827
116037371954842240,4068.905,0.11990911
116261779701601152,3845.0,0.059554912
116339982465090048,7836.0,64.601
116456668137575040,4061.12,0.090375975
117654650480415744,4049.22,0.08820394
117990177621007744,3849.53,0.055552077
118234509720825856,4077.47,0.10042133
118289519661876352,5170.3335,0.4283015
120116560093745152,5745.6665,0.8403167
122366508777276416,4263.5405,0.08047258
122518310101463808,4149.6064,0.09565795
122702478298949888,4971.435,0.32592213
122704230645584768,6100.0,1.5760639
123422035644448384,4526.715,0.20487964
125343573948444800,5586.0,0.7646428
125609346525182208,5635.6665,0.87660027
125820586283986816,5016.077,0.30266696
127773735163686784,4230.14,0.17101909
128614479306793088,5132.1777,0.57414865
128685947561889920,3945.8867,0.07159271
129070265532645888,5152.5,0.46779796
129321160344480512,5909.0,1.6022143
130173900330982016,4785.533,3.3452861
130210321651481728,4116.73,0.0891536
130938267067432704,4873.9575,0.30974734
131471770725205632,7196.0,15.327427
131483276941461888,5899.6665,3.756069
132362959259196032,4410.44,0.21258841
132363027978672000,3852.3198,0.06112428
132922438878995968,5877.75,1.1895094
134174129788770816,6248.0,6.5822453
135598237864814720,5113.6997,0.41428006
136838658779723648,4058.2068,0.10195369
137345739797969152,5512.5,0.6560498
138337602366235904,5305.8,0.47114012
138972467251590656,5847.25,1.4711727
138999542725203328,5897.0,1.2104812
139281533096982784,6256.0,1.0481775
139281533098990336,5873.0,0.9872233
140357297851215872,4734.033,0.31274265
140499654543450880,5393.6665,1.0240495
140919702344897024,7178.5,5.6927433
141653591996433920,4221.1567,0.15800793
143293685388105216,6623.0,22.906538
143872711402992384,5041.31,0.2833009
144057291917008128,4297.377,0.16832644
144171233106399104,5480.8,0.7164533
144290220880929664,3793.5,0.074967206
144357737766691584,3602.0,0.040110663
144377799556207488,4334.0,0.16419248
144534724778235392,4147.965,0.11308544
144786577364287104,5776.6665,0.9266365
144978858756826368,5879.25,1.9226617
145056030728993280,4027.44,0.08753776
145227760700173568,5383.3335,0.5284906
145293181643038336,6166.0,2.2119
145373377272257664,6225.3335,2.191815
145421309108301184,4154.96,0.11876256
145484629809228544,7475.75,12.668927
145664777917536512,4162.8774,0.14884327
145674574739951872,7847.6665,37.34551
145727729254950912,7109.5,32.40289
146677879098433152,6043.0,1.5917623
146687018788948224,4102.4297,0.109814264
146740207663868032,6729.0,6.369041
146789960565014528,4076.0,0.08066176
146989143968434688,3966.6667,0.067478806
147182172683187712,4859.03,0.4273657
147665584137560448,3990.0,0.09441155
148183866430358016,4269.2925,0.19119725
148709810947139968,4342.182,0.2023148
148965206882342400,4185.3066,0.072129
149005270337201792,5750.0,1.1004077
149340032971718912,4886.44,0.16619538
149767987810042624,4575.755,0.38676
150694566874541824,5838.5,1.1215844
150907081855211520,5356.0,0.48939902
151222018921543424,4113.92,0.19304332
151650076838458112,4633.19,0.22824469
152668843080781184,5621.6665,3.6495793
153688738899158528,5437.6997,0.67252696
154257259425702144,4495.06,0.18875815
154660191781205120,5004.283,0.32135925
155141949672659072,4701.2,0.2099855
155803683873897856,4706.9336,0.20679864
156205731470219904,5287.3335,0.73917264
157149692265484032,4193.0,0.11623189
157350701032081792,4302.137,0.16846456
159010516911729536,4059.6802,0.07465369
159493924070156288,4800.0,0.20918825
159685410893202304,4133.4077,0.07462546
161206963187953280,5177.35,0.4492521
162781051522771072,4531.91,0.16494605
162781051522771200,4553.3125,0.16757481
163302048236137600,4040.9631,0.06555181
164262059326729088,6885.0,5.1215096
164282846968545152,6066.0,0.70381814
167241254800650880,5374.3335,0.5308295
167829076907130240,5138.25,0.65346885
169149766470219520,6128.3335,2.4715586
169837373550914944,3986.095,0.08176083
170216567626711296,4859.4453,0.1566259
170457601190857728,4835.845,0.25708884
170564219458600192,3908.5,0.06565989
170733402512180224,5136.25,0.4657273
172817599818083712,6729.5,7.166071
172846324559990272,4956.183,0.29299888
173000664208094080,4201.277,0.12989272
174156255225869440,5751.0,1.547701
175618983647633920,6009.0,3.5358274
175712201617990272,5049.0,0.43016025
177349168273489536,5557.5664,0.7630295
177425034575534464,4969.7075,0.32138878
178105219954654848,3583.4402,0.05544785
178112641659509760,6244.5,3.3069441
180186934769703936,4125.5835,0.11886978
181312735893067008,5738.6,1.0876626
181318611408327552,5408.0,0.55005646
182271471376644224,3877.0,0.053891186
182461725546788480,6328.5,2.6420817
184411949935279616,4480.803,0.16523083
185684875162751616,4091.51,0.11192049
185773832523935488,5401.0,0.5671789
187247281185703296,6128.6665,1.5160532
188206261484037504,7114.0,22.950344
188771135583573504,5979.0,1.8605087
188799379289451648,5522.0,0.59615916
194405990937384064,6362.0,1.7821819
194405990940923520,5571.3335,0.6150099
198228619207418752,5412.6665,0.55251604
198579603934059392,4188.723,0.09850711
198776553956316928,6266.0,1.5044724
199279271288398720,6240.3003,2.475616
200307211581403776,4130.7427,0.1079779
200481484174482048,4107.01,0.097152375
201121430002241920,4924.5,0.27296728
201140400878588544,4798.1997,0.2837066
201487468594945408,5568.0,0.49263301
201487468594945792,4074.6553,0.096293986
202769464791401344,4795.1,0.23290433
203117765163988352,4126.385,0.08460892
203381239935611520,4511.8535,0.1698253
204001914247731328,5426.25,0.716766
204358907633155840,5748.5,0.8204501
204567784780492160,5164.0,0.41559252
206376756285941120,4690.2676,0.2022138
206542915687331328,4453.35,0.13556634
207166446152692736,5245.65,0.40485284
207670606592768256,4056.57,0.07295028
208396456066072704,4892.0,0.15542062
209547885254097792,4196.3896,0.13487846
212255157762755712,5494.6665,1.0186504
212423520480513280,3994.58,0.065892674
212816321010824064,6526.0,10.844659
215394602760482816,5061.6665,0.38194928
215395053733297024,5033.0,0.35214362
215412263665992448,3874.94,0.064100675
215599288017480704,5864.0,1.1480682
215605163532676864,5568.6665,0.6864746
216172197998231808,4710.0,76.85593
216569469589042176,4739.0,0.15697987
217334764042444288,5091.0,0.33453363
217778313905602688,4727.9336,0.44922248
218231518853187712,5958.0,1.8278626
218231518853187840,6641.5,1.6324282
218366758786141440,3948.6025,0.08689203
219057458247921536,5004.76,0.14513844
219715717817117568,4955.3135,0.16075513
220035027163515648,5393.375,0.50166255
221110590050503424,4182.7466,0.17277268
222786172762151168,3854.6667,0.081048936
223905857848701184,4627.31,0.17026399
223905857849226752,3499.5,0.04771883
223983442137333376,4036.0552,0.089428395
223983476497066368,4750.3335,0.20421341
225189812554440704,4550.08,0.18128152
225643223661003392,5027.54,7.946129
225668198891010560,6247.5,2.3700118
225709641034907264,5226.0,0.5496638
226778843075710976,5735.0,1.1878725
227921961509426432,4193.7427,0.11576719
228996214429975808,4932.68,0.3607244
231113736385994624,5356.5,0.30610642
231113740685855616,5013.027,0.20155516
231618931920424704,5271.6665,0.54861826
231711767633868800,4488.5,0.15785365
233223703502612352,5555.1,0.77063787
233301253432642688,4879.8667,0.24737205
235315348273197056,3855.27,0.058526278
235383247412615936,3875.06,0.059352703
235423517026072960,4347.096,0.081194885
235455231065085824,4277.777,0.11597441
236827455937195264,4961.45,0.36559075
237497333398278528,5203.0,0.47524768
237507744398899200,5897.25,2.7773092
237577460305885440,4129.8,0.083970375
237577460305885952,5489.5,0.52525645
239070631455336064,4298.6367,0.15147835
240259375324767744,4949.8174,0.30251592
240817446194974848,5966.5,1.482098
241348132354149504,4231.78,0.1370345
241393040535105280,4843.5938,0.20948409
241996500618616960,6546.0,8.58497
242184757623983872,3927.5,0.06587628
243285849800883456,5898.0,1.8363484
244635397245256960,5380.0,0.55785745
244808226728958848,5007.1997,0.57258093
246159148562933760,3747.25,0.054723248
247551508241765504,4388.1533,0.13205855
248004472671281664,5612.0,0.6450029
248004472671505152,4238.0,0.09221105
