"HIP","HD","RAhms","DEdms","RA(ICRS)","DE(ICRS)","pmRA","pmDE","Glon","Glat","d(pc)","ePARX/PARX","V","e_V","V_src","B-V","e_B-V","B-V_src","Mv","e_Mv","CombMag","V-K","e_V-K","K_src","Lbol_src","Lbol","e_Lbol","SpType","CLASS","SPECTAG","EEID(AU)","EEID(mas)","FPB-Earth","V-Earth(mag)","Teff","Teff_src","R*(Rsun)","R_src","M*(Msun)","M_src"
72688,130992,"14 51 41.07","-24 18 11.1",222.9211232,-24.30308356,-943.26,-431.74,335.0967,30.9538,17.03,0.01,7.81,0.01,"Koen",1.02,0.01,"Koen",6.65,0.04,"___",2.42,0.03,"2MASS","V-K",0.26,0.05,"K3V","MAINSEQ","K",0.51,30.15,4.38E-10,31.2,4833,"VF05",0.73,"Takeda",0.78,"Takeda"
53229,94264,"10 53 18.64","+34 12 56.0",163.32766612,34.21556641,92.47,-286.06,190.0089,63.7335,29.09,0.01,3.79,0.02,"VT",1.04,0.01,"G",1.47,0.03,"___",2.4,0.05,"JOHNSON, H. L. <COMM. LUNAR AND PLANETARY LAB., 4, 99> UBVRIJKL","V-K",30.73,0.06,"K0III-IV","GIANT","GIANT",5.54,190.6,3.76E-12,32.35,4833,"V-K",7.9,"Turnbull",2.41,"Turnbull"
66147,117936,"13 33 32.70","+08 35 11.5",203.38624617,8.58653437,-506.48,94.49,333.13,68.9523,19.07,0.02,7.96,0.01,"Koen",1.07,0.01,"Koen",6.56,0.05,"___",2.49,0.03,"2MASS","V-K",0.29,0.06,"K0","MAINSEQ","K",0.54,28.26,3.98E-10,31.46,4834,"VF05",0.74,"Takeda",0.81,"Takeda"
114622,219134,"23 13 14.74","+57 10 03.5",348.31143134,57.16763844,2074.37,294.97,109.8935,-3.1974,6.54,0.01,5.57,0,"G",1,0,"G",6.49,0.01,"___","___","___","___","B-V",0.31,0.1,"K3.0V","MAINSEQ","K",0.55,84.48,3.78E-10,29.13,4835,"VF05",0.77,"Takeda",0.79,"Takeda"
84616,156985,"17 17 50.41","+52 26 51.3",259.46003026,52.44758821,17.27,-195.16,79.7102,35.2345,18.33,0.01,7.96,0.02,"VT",1.03,0.02,"BVT-Red",6.64,0.04,"___",2.39,0.03,"2MASS","V-K",0.26,0.05,"K2","MAINSEQ","K",0.51,27.9,4.42E-10,31.34,4836,"V-K",0.73,"Turnbull",0.71,"Turnbull"
42940,74377,"08 45 10.62","+41 40 24.3",131.29424441,41.67341814,-283.45,-651.14,179.7478,38.2952,26.6,0.02,8.52,0,"G",0.94,0.01,"G",6.4,0.05,"___",2.39,0.02,"2MASS","V-K",0.33,0.06,"K3V","MAINSEQ","K",0.57,21.54,3.52E-10,32.15,4836,"V-K",0.82,"Turnbull",0.75,"Turnbull"
54002,"___","11 02 50.24","-09 19 48.8",165.709325,-9.33021014,-202.32,-57.22,263.3504,45.0336,29.16,0.03,9.03,0.01,"G",0.97,0.01,"G",6.71,0.07,"___",2.39,0.03,"2MASS","V-K",0.25,0.08,"K3V         ","___","___",0.5,17.02,4.69E-10,32.35,4838,"V-K",0.71,"Turnbull",0.7,"Turnbull"
5224,6673,"01 06 46.98","-50 59 22.1",16.69573127,-50.98947181,489.44,10.67,296.9977,-65.9616,29.27,0.03,8.84,0.01,"G",0.93,0.01,"G",6.51,0.07,"___",2.28,0.02,"2MASS","V-K",0.28,0.07,"K2V","MAINSEQ","K",0.53,18.09,4.12E-10,32.3,4838,"Gray",0.75,"Turnbull",0.72,"Turnbull"
44526,77825,"09 04 20.76","-15 54 51.0",136.08649723,-15.91417598,-108.36,-29.91,243.9819,20.118,28.3,0.02,8.77,0.03,"VT",0.96,0.02,"G",6.52,0.08,"___",2.39,0.04,"2MASS","V-K",0.29,0.08,"K2V","MAINSEQ","K",0.54,19.12,3.95E-10,32.28,4843,"V-K",0.77,"Turnbull",0.73,"Turnbull"
60207,107388,"12 20 47.05","-19 53 45.3",185.19605519,-19.89591331,-357.96,-61.08,293.1565,42.3933,29.04,0.03,8.97,0.04,"VT",1.01,0,"G",6.66,0.11,"___",2.39,0.05,"2MASS","V-K",0.26,0.12,"K3V","MAINSEQ","K",0.51,17.45,4.5E-10,32.34,4844,"V-K",0.72,"Turnbull",0.71,"Turnbull"
